S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
689,U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),26-01-2017,ODI # 3827
690,South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha,28-01-2017,ODI # 3828
691,New Zealand,Australia,New Zealand,6 runs,Auckland,30-01-2017,ODI # 3829
692,South Africa,Sri Lanka,South Africa,121 runs,Durban,01-02-2017,ODI # 3830
693,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,04-02-2017,ODI # 3831
694,New Zealand,Australia,New Zealand,24 runs,Hamilton,05-02-2017,ODI # 3832
695,South Africa,Sri Lanka,South Africa,40 runs,Cape Town,07-02-2017,ODI # 3833
696,South Africa,Sri Lanka,South Africa,88 runs,Centurion,10-02-2017,ODI # 3834
697,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,16-02-2017,ODI # 3835
698,New Zealand,South Africa,South Africa,4 wickets,Hamilton,19-02-2017,ODI # 3836
699,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,19-02-2017,ODI # 3837
700,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,21-02-2017,ODI # 3838
701,New Zealand,South Africa,New Zealand,6 runs,Christchurch,22-02-2017,ODI # 3839
702,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,24-02-2017,ODI # 3840
703,New Zealand,South Africa,South Africa,159 runs,Wellington,25-02-2017,ODI # 3841
704,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,26-02-2017,ODI # 3842
705,New Zealand,South Africa,New Zealand,7 wickets,Hamilton,01-03-2017,ODI # 3843
706,U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,02-03-2017,ODI # 3844
707,West Indies,England,England,45 runs,North Sound,03-03-2017,ODI # 3845
708,New Zealand,South Africa,South Africa,6 wickets,Auckland,04-03-2017,ODI # 3846
709,U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,04-03-2017,ODI # 3847
710,West Indies,England,England,4 wickets,North Sound,05-03-2017,ODI # 3848
711,West Indies,England,England,186 runs,Bridgetown,09-03-2017,ODI # 3849
712,Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,15-03-2017,ODI # 3850
713,Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,17-03-2017,ODI # 3851
714,Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,19-03-2017,ODI # 3852
715,Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,22-03-2017,ODI # 3853
716,Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,24-03-2017,ODI # 3854
717,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,25-03-2017,ODI # 3855
718,Sri Lanka,Bangladesh,no result,-,Dambulla,28-03-2017,ODI # 3856
719,U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,31-03-2017,ODI # 3857
720,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),01-04-2017,ODI # 3858
721,U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,02-04-2017,ODI # 3859
722,U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,04-04-2017,ODI # 3860
723,West Indies,Pakistan,West Indies,4 wickets,Providence,07-04-2017,ODI # 3861
724,West Indies,Pakistan,Pakistan,74 runs,Providence,09-04-2017,ODI # 3862
725,West Indies,Pakistan,Pakistan,6 wickets,Providence,11-04-2017,ODI # 3863
726,England,Ireland,England,7 wickets,Bristol,05-05-2017,ODI # 3864
727,England,Ireland,England,85 runs,Lord's,07-05-2017,ODI # 3865
728,Ireland,Bangladesh,no result,-,Dublin (Malahide),12-05-2017,ODI # 3866
729,Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),14-05-2017,ODI # 3867
730,Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,17-05-2017,ODI # 3868
731,Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),19-05-2017,ODI # 3869
732,Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),21-05-2017,ODI # 3870
733,Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,24-05-2017,ODI # 3871
734,England,South Africa,England,72 runs,Leeds,24-05-2017,ODI # 3872
735,England,South Africa,England,2 runs,Southampton,27-05-2017,ODI # 3873
736,England,South Africa,South Africa,7 wickets,Lord's,29-05-2017,ODI # 3874
737,England,Bangladesh,England,8 wickets,The Oval,01-06-2017,ODI # 3875
738,Australia,New Zealand,no result,-,Birmingham,02-06-2017,ODI # 3876
739,South Africa,Sri Lanka,South Africa,96 runs,The Oval,03-06-2017,ODI # 3877
740,India,Pakistan,India,124 runs,Birmingham,04-06-2017,ODI # 3878
741,Australia,Bangladesh,no result,-,The Oval,05-06-2017,ODI # 3879
742,England,New Zealand,England,87 runs,Cardiff,06-06-2017,ODI # 3880
743,Pakistan,South Africa,Pakistan,19 runs,Birmingham,07-06-2017,ODI # 3881
744,India,Sri Lanka,Sri Lanka,7 wickets,The Oval,08-06-2017,ODI # 3882
745,Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,09-06-2017,ODI # 3883
746,West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,09-06-2017,ODI # 3884
747,England,Australia,England,40 runs,Birmingham,10-06-2017,ODI # 3885
748,India,South Africa,India,8 wickets,The Oval,11-06-2017,ODI # 3886
749,West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,11-06-2017,ODI # 3887
750,Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,12-06-2017,ODI # 3888
751,England,Pakistan,Pakistan,8 wickets,Cardiff,14-06-2017,ODI # 3889
752,West Indies,Afghanistan,no result,-,Gros Islet,14-06-2017,ODI # 3890
753,Bangladesh,India,India,9 wickets,Birmingham,15-06-2017,ODI # 3891
754,Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,15-06-2017,ODI # 3892
755,Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,17-06-2017,ODI # 3893
756,India,Pakistan,Pakistan,180 runs,The Oval,18-06-2017,ODI # 3894
757,West Indies,India,no result,-,Port of Spain,23-06-2017,ODI # 3895
758,West Indies,India,India,105 runs,Port of Spain,25-06-2017,ODI # 3896
759,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,30-06-2017,ODI # 3897
760,West Indies,India,India,93 runs,North Sound,30-06-2017,ODI # 3898
761,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,02-07-2017,ODI # 3899
762,West Indies,India,West Indies,11 runs,North Sound,02-07-2017,ODI # 3900
763,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,06-07-2017,ODI # 3901
764,West Indies,India,India,8 wickets,Kingston,06-07-2017,ODI # 3902
765,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,08-07-2017,ODI # 3903
766,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,10-07-2017,ODI # 3904
767,Sri Lanka,India,India,9 wickets,Dambulla,20-08-2017,ODI # 3905
768,Sri Lanka,India,India,3 wickets,Pallekele,24-08-2017,ODI # 3906
769,Sri Lanka,India,India,6 wickets,Pallekele,27-08-2017,ODI # 3907
770,Sri Lanka,India,India,168 runs,Colombo (RPS),31-08-2017,ODI # 3908
771,Sri Lanka,India,India,6 wickets,Colombo (RPS),03-09-2017,ODI # 3909
772,India,Australia,India,26 runs,Chennai,17-09-2017,ODI # 3910
773,England,West Indies,England,7 wickets,Manchester,19-09-2017,ODI # 3911
774,India,Australia,India,50 runs,Eden Gardens,21-09-2017,ODI # 3912
775,England,West Indies,no result,-,Nottingham,21-09-2017,ODI # 3913
776,India,Australia,India,5 wickets,Indore,24-09-2017,ODI # 3914
777,England,West Indies,England,124 runs,Bristol,24-09-2017,ODI # 3915
778,England,West Indies,England,6 runs,The Oval,27-09-2017,ODI # 3916
779,India,Australia,Australia,21 runs,Bengaluru,28-09-2017,ODI # 3917
780,England,West Indies,England,9 wickets,Southampton,29-09-2017,ODI # 3918
781,India,Australia,India,7 wickets,Nagpur,01-10-2017,ODI # 3919
782,P.N.G.,Scotland,Scotland,101 runs,Port Moresby,06-10-2017,ODI # 3920
783,P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,08-10-2017,ODI # 3921
784,Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),13-10-2017,ODI # 3922
785,South Africa,Bangladesh,South Africa,10 wickets,Kimberley,15-10-2017,ODI # 3923
786,Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,16-10-2017,ODI # 3924
787,South Africa,Bangladesh,South Africa,104 runs,Paarl,18-10-2017,ODI # 3925
788,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,18-10-2017,ODI # 3926
789,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,20-10-2017,ODI # 3927
790,India,New Zealand,New Zealand,6 wickets,Wankhede,22-10-2017,ODI # 3928
791,South Africa,Bangladesh,South Africa,200 runs,East London,22-10-2017,ODI # 3929
792,Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,23-10-2017,ODI # 3930
793,India,New Zealand,India,6 wickets,Pune,25-10-2017,ODI # 3931
794,India,New Zealand,India,6 runs,Kanpur,29-10-2017,ODI # 3932
795,P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC),24-11-2017,ODI # 3933
796,P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC),25-11-2017,ODI # 3934
797,Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,05-12-2017,ODI # 3935
798,Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai,06-12-2017,ODI # 3936
799,Afghanistan,Ireland,Ireland,51 runs,Sharjah,07-12-2017,ODI # 3937
800,Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai,08-12-2017,ODI # 3938
801,India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,10-12-2017,ODI # 3939
802,Afghanistan,Ireland,Ireland,5 wickets,Sharjah,10-12-2017,ODI # 3940
803,India,Sri Lanka,India,141 runs,Mohali,13-12-2017,ODI # 3941
804,India,Sri Lanka,India,8 wickets,Visakhapatnam,17-12-2017,ODI # 3942
805,New Zealand,West Indies,New Zealand,5 wickets,Whangarei,20-12-2017,ODI # 3943
806,New Zealand,West Indies,New Zealand,204 runs,Christchurch,23-12-2017,ODI # 3944
807,New Zealand,West Indies,New Zealand,66 runs,Christchurch,26-12-2017,ODI # 3945
808,Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,08-01-2015,ODI # 3572
809,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),10-01-2015,ODI # 3573
810,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,11-01-2015,ODI # 3574
811,Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),12-01-2015,ODI # 3575
812,Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,14-01-2015,ODI # 3576
813,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,15-01-2015,ODI # 3577
814,Australia,England,Australia,3 wickets,Sydney,16-01-2015,ODI # 3578
815,South Africa,West Indies,South Africa,61 runs,Durban,16-01-2015,ODI # 3579
816,New Zealand,Sri Lanka,no result,-,Auckland,17-01-2015,ODI # 3580
817,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),17-01-2015,ODI # 3581
818,Australia,India,Australia,4 wickets,Melbourne,18-01-2015,ODI # 3582
819,South Africa,West Indies,South Africa,148 runs,Johannesburg,18-01-2015,ODI # 3583
820,Ireland,Scotland,no result,-,ICCA Dubai,19-01-2015,ODI # 3584
821,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,20-01-2015,ODI # 3585
822,England,India,England,9 wickets,Brisbane,20-01-2015,ODI # 3586
823,South Africa,West Indies,South Africa,9 wickets,East London,21-01-2015,ODI # 3587
824,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,23-01-2015,ODI # 3588
825,Australia,England,Australia,3 wickets,Hobart,23-01-2015,ODI # 3589
826,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,25-01-2015,ODI # 3590
827,South Africa,West Indies,West Indies,1 wicket,Gqeberha,25-01-2015,ODI # 3591
828,Australia,India,no result,-,Sydney,26-01-2015,ODI # 3592
829,South Africa,West Indies,South Africa,131 runs,Centurion,28-01-2015,ODI # 3593
830,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,29-01-2015,ODI # 3594
831,England,India,England,3 wickets,Perth,30-01-2015,ODI # 3595
832,New Zealand,Pakistan,New Zealand,7 wickets,Wellington,31-01-2015,ODI # 3596
833,Australia,England,Australia,112 runs,Perth,01-02-2015,ODI # 3597
834,New Zealand,Pakistan,New Zealand,119 runs,Napier,03-02-2015,ODI # 3598
835,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,14-02-2015,ODI # 3599
836,Australia,England,Australia,111 runs,Melbourne,14-02-2015,ODI # 3600
837,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,15-02-2015,ODI # 3601
838,India,Pakistan,India,76 runs,Adelaide,15-02-2015,ODI # 3602
839,Ireland,West Indies,Ireland,4 wickets,Nelson,16-02-2015,ODI # 3603
840,New Zealand,Scotland,New Zealand,3 wickets,Dunedin,17-02-2015,ODI # 3604
841,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,18-02-2015,ODI # 3605
842,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,19-02-2015,ODI # 3606
843,New Zealand,England,New Zealand,8 wickets,Wellington,20-02-2015,ODI # 3607
844,Pakistan,West Indies,West Indies,150 runs,Christchurch,21-02-2015,ODI # 3608
845,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,22-02-2015,ODI # 3609
846,India,South Africa,India,130 runs,Melbourne,22-02-2015,ODI # 3610
847,England,Scotland,England,119 runs,Christchurch,23-02-2015,ODI # 3611
848,West Indies,Zimbabwe,West Indies,73 runs,Canberra,24-02-2015,ODI # 3612
849,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,25-02-2015,ODI # 3613
850,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,26-02-2015,ODI # 3614
851,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,26-02-2015,ODI # 3615
852,South Africa,West Indies,South Africa,257 runs,Sydney,27-02-2015,ODI # 3616
853,New Zealand,Australia,New Zealand,1 wicket,Auckland,28-02-2015,ODI # 3617
854,India,U.A.E.,India,9 wickets,Perth,28-02-2015,ODI # 3618
855,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,01-03-2015,ODI # 3619
856,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,01-03-2015,ODI # 3620
857,Ireland,South Africa,South Africa,201 runs,Canberra,03-03-2015,ODI # 3621
858,Pakistan,U.A.E.,Pakistan,129 runs,Napier,04-03-2015,ODI # 3622
859,Australia,Afghanistan,Australia,275 runs,Perth,04-03-2015,ODI # 3623
860,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,05-03-2015,ODI # 3624
861,India,West Indies,India,4 wickets,Perth,06-03-2015,ODI # 3625
862,Pakistan,South Africa,Pakistan,29 runs,Auckland,07-03-2015,ODI # 3626
863,Ireland,Zimbabwe,Ireland,5 runs,Hobart,07-03-2015,ODI # 3627
864,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,08-03-2015,ODI # 3628
865,Australia,Sri Lanka,Australia,64 runs,Sydney,08-03-2015,ODI # 3629
866,Bangladesh,England,Bangladesh,15 runs,Adelaide,09-03-2015,ODI # 3630
867,India,Ireland,India,8 wickets,Hamilton,10-03-2015,ODI # 3631
868,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,11-03-2015,ODI # 3632
869,South Africa,U.A.E.,South Africa,146 runs,Wellington,12-03-2015,ODI # 3633
870,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,13-03-2015,ODI # 3634
871,Afghanistan,England,England,9 wickets,Sydney,13-03-2015,ODI # 3635
872,India,Zimbabwe,India,6 wickets,Auckland,14-03-2015,ODI # 3636
873,Australia,Scotland,Australia,7 wickets,Hobart,14-03-2015,ODI # 3637
874,U.A.E.,West Indies,West Indies,6 wickets,Napier,15-03-2015,ODI # 3638
875,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,15-03-2015,ODI # 3639
876,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,18-03-2015,ODI # 3640
877,Bangladesh,India,India,109 runs,Melbourne,19-03-2015,ODI # 3641
878,Australia,Pakistan,Australia,6 wickets,Adelaide,20-03-2015,ODI # 3642
879,New Zealand,West Indies,New Zealand,143 runs,Wellington,21-03-2015,ODI # 3643
880,New Zealand,South Africa,New Zealand,4 wickets,Auckland,24-03-2015,ODI # 3644
881,Australia,India,Australia,95 runs,Sydney,26-03-2015,ODI # 3645
882,Australia,New Zealand,Australia,7 wickets,Melbourne,29-03-2015,ODI # 3646
883,Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur,17-04-2015,ODI # 3647
884,Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,19-04-2015,ODI # 3648
885,Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur,22-04-2015,ODI # 3649
886,Ireland,England,no result,-,Dublin (Malahide),08-05-2015,ODI # 3650
887,Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,26-05-2015,ODI # 3651
888,Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,29-05-2015,ODI # 3652
889,Pakistan,Zimbabwe,no result,-,Lahore,31-05-2015,ODI # 3653
890,England,New Zealand,England,210 runs,Birmingham,09-06-2015,ODI # 3654
891,England,New Zealand,New Zealand,13 runs,The Oval,12-06-2015,ODI # 3655
892,England,New Zealand,New Zealand,3 wickets,Southampton,14-06-2015,ODI # 3656
893,England,New Zealand,England,7 wickets,Nottingham,17-06-2015,ODI # 3657
894,Bangladesh,India,Bangladesh,79 runs,Mirpur,18-06-2015,ODI # 3658
895,England,New Zealand,England,3 wickets,Chester-le-Street,20-06-2015,ODI # 3659
896,Bangladesh,India,Bangladesh,6 wickets,Mirpur,21-06-2015,ODI # 3660
897,Bangladesh,India,India,77 runs,Mirpur,24-06-2015,ODI # 3661
898,Zimbabwe,India,India,4 runs,Harare,10-07-2015,ODI # 3662
899,Bangladesh,South Africa,South Africa,8 wickets,Mirpur,10-07-2015,ODI # 3663
900,Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,11-07-2015,ODI # 3664
901,Zimbabwe,India,India,62 runs,Harare,12-07-2015,ODI # 3665
902,Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,12-07-2015,ODI # 3666
903,Zimbabwe,India,India,83 runs,Harare,14-07-2015,ODI # 3667
904,Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,15-07-2015,ODI # 3668
905,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,15-07-2015,ODI # 3669
906,Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),19-07-2015,ODI # 3670
907,Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),22-07-2015,ODI # 3671
908,Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,26-07-2015,ODI # 3672
909,Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,02-08-2015,ODI # 3673
910,Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,04-08-2015,ODI # 3674
911,Zimbabwe,New Zealand,New Zealand,38 runs,Harare,07-08-2015,ODI # 3675
912,South Africa,New Zealand,South Africa,20 runs,Centurion,19-08-2015,ODI # 3676
913,South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,23-08-2015,ODI # 3677
914,South Africa,New Zealand,South Africa,62 runs,Durban,26-08-2015,ODI # 3678
915,Ireland,Australia,Australia,23 runs,Belfast,27-08-2015,ODI # 3679
916,England,Australia,Australia,59 runs,Southampton,03-09-2015,ODI # 3680
917,England,Australia,Australia,64 runs,Lord's,05-09-2015,ODI # 3681
918,England,Australia,England,93 runs,Manchester,08-09-2015,ODI # 3682
919,England,Australia,England,3 wickets,Leeds,11-09-2015,ODI # 3683
920,England,Australia,Australia,8 wickets,Manchester,13-09-2015,ODI # 3684
921,Zimbabwe,Pakistan,Pakistan,131 runs,Harare,01-10-2015,ODI # 3685
922,Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,03-10-2015,ODI # 3686
923,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,05-10-2015,ODI # 3687
924,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,09-10-2015,ODI # 3688
925,India,South Africa,South Africa,5 runs,Kanpur,11-10-2015,ODI # 3689
926,Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,11-10-2015,ODI # 3690
927,Zimbabwe,Ireland,Ireland,2 wickets,Harare,13-10-2015,ODI # 3691
928,India,South Africa,India,22 runs,Indore,14-10-2015,ODI # 3692
929,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,16-10-2015,ODI # 3693
930,Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,18-10-2015,ODI # 3694
931,India,South Africa,South Africa,18 runs,Rajkot,18-10-2015,ODI # 3695
932,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,20-10-2015,ODI # 3696
933,Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,22-10-2015,ODI # 3697
934,India,South Africa,India,35 runs,Chennai,22-10-2015,ODI # 3698
935,Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,24-10-2015,ODI # 3699
936,India,South Africa,South Africa,214 runs,Wankhede,25-10-2015,ODI # 3700
937,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),01-11-2015,ODI # 3701
938,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),04-11-2015,ODI # 3702
939,Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur,07-11-2015,ODI # 3703
940,Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,07-11-2015,ODI # 3704
941,Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur,09-11-2015,ODI # 3705
942,Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur,11-11-2015,ODI # 3706
943,England,Pakistan,Pakistan,6 wickets,Abu Dhabi,11-11-2015,ODI # 3707
944,England,Pakistan,England,95 runs,Abu Dhabi,13-11-2015,ODI # 3708
945,U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,16-11-2015,ODI # 3709
946,England,Pakistan,England,6 wickets,Sharjah,17-11-2015,ODI # 3710
947,U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,18-11-2015,ODI # 3711
948,England,Pakistan,England,84 runs,Dubai (DSC),20-11-2015,ODI # 3712
949,Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,25-12-2015,ODI # 3713
950,New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,26-12-2015,ODI # 3714
951,New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,28-12-2015,ODI # 3715
952,Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,29-12-2015,ODI # 3716
953,New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,31-12-2015,ODI # 3717
954,New Zealand,Sri Lanka,no result,-,Nelson,02-01-2016,ODI # 3718
955,Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,02-01-2016,ODI # 3719
956,Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,04-01-2016,ODI # 3720
957,New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,05-01-2016,ODI # 3721
958,Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,06-01-2016,ODI # 3722
959,Australia,India,Australia,5 wickets,Perth,12-01-2016,ODI # 3723
960,Australia,India,Australia,7 wickets,Brisbane,15-01-2016,ODI # 3724
961,Australia,India,Australia,3 wickets,Melbourne,17-01-2016,ODI # 3725
962,Australia,India,Australia,25 runs,Canberra,20-01-2016,ODI # 3726
963,Australia,India,India,6 wickets,Sydney,23-01-2016,ODI # 3727
964,New Zealand,Pakistan,New Zealand,70 runs,Wellington,25-01-2016,ODI # 3728
965,Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,26-01-2016,ODI # 3729
966,New Zealand,Pakistan,New Zealand,3 wickets,Auckland,31-01-2016,ODI # 3730
967,New Zealand,Australia,New Zealand,159 runs,Auckland,03-02-2016,ODI # 3731
968,South Africa,England,England,39 runs,Bloemfontein,03-02-2016,ODI # 3732
969,New Zealand,Australia,Australia,4 wickets,Wellington,06-02-2016,ODI # 3733
970,South Africa,England,England,5 wickets,Gqeberha,06-02-2016,ODI # 3734
971,New Zealand,Australia,New Zealand,55 runs,Hamilton,08-02-2016,ODI # 3735
972,South Africa,England,South Africa,7 wickets,Centurion,09-02-2016,ODI # 3736
973,South Africa,England,South Africa,1 wicket,Johannesburg,12-02-2016,ODI # 3737
974,South Africa,England,South Africa,5 wickets,Cape Town,14-02-2016,ODI # 3738
975,West Indies,South Africa,West Indies,4 wickets,Providence,03-06-2016,ODI # 3739
976,West Indies,Australia,Australia,6 wickets,Providence,05-06-2016,ODI # 3740
977,Australia,South Africa,South Africa,47 runs,Providence,07-06-2016,ODI # 3741
978,Zimbabwe,India,India,9 wickets,Harare,11-06-2016,ODI # 3742
979,Australia,South Africa,Australia,36 runs,Basseterre,11-06-2016,ODI # 3743
980,Zimbabwe,India,India,8 wickets,Harare,13-06-2016,ODI # 3744
981,West Indies,Australia,West Indies,4 wickets,Basseterre,13-06-2016,ODI # 3745
982,Zimbabwe,India,India,10 wickets,Harare,15-06-2016,ODI # 3746
983,West Indies,South Africa,South Africa,139 runs,Basseterre,15-06-2016,ODI # 3747
984,Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),16-06-2016,ODI # 3748
985,Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),18-06-2016,ODI # 3749
986,Australia,South Africa,no result,-,Bridgetown,19-06-2016,ODI # 3750
987,England,Sri Lanka,tied,-,Nottingham,21-06-2016,ODI # 3751
988,West Indies,Australia,Australia,6 wickets,Bridgetown,21-06-2016,ODI # 3752
989,England,Sri Lanka,England,10 wickets,Birmingham,24-06-2016,ODI # 3753
990,West Indies,South Africa,West Indies,100 runs,Bridgetown,24-06-2016,ODI # 3754
991,England,Sri Lanka,no result,-,Bristol,26-06-2016,ODI # 3755
992,West Indies,Australia,Australia,58 runs,Bridgetown,26-06-2016,ODI # 3756
993,England,Sri Lanka,England,6 wickets,The Oval,29-06-2016,ODI # 3757
994,England,Sri Lanka,England,122 runs,Cardiff,02-07-2016,ODI # 3758
995,Scotland,Afghanistan,no result,-,Edinburgh,04-07-2016,ODI # 3759
996,Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,06-07-2016,ODI # 3760
997,Ireland,Afghanistan,Afghanistan,39 runs,Belfast,12-07-2016,ODI # 3761
998,Ireland,Afghanistan,Ireland,6 wickets,Belfast,14-07-2016,ODI # 3762
999,Ireland,Afghanistan,Afghanistan,79 runs,Belfast,17-07-2016,ODI # 3763
1000,Ireland,Afghanistan,Ireland,12 runs,Belfast,19-07-2016,ODI # 3764
1001,Scotland,U.A.E.,Scotland,98 runs,Edinburgh,14-08-2016,ODI # 3765
1002,Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,16-08-2016,ODI # 3766
1003,Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),18-08-2016,ODI # 3767
1004,Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),21-08-2016,ODI # 3768
