S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
462,P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur,15-03-2023,ODI # 4536
463,Nepal,U.A.E.,Nepal,9 runs,Kirtipur,16-03-2023,ODI # 4537
464,India,Australia,India,5 wickets,Wankhede,17-03-2023,ODI # 4538
465,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet,18-03-2023,ODI # 4539
466,South Africa,West Indies,West Indies,48 runs,East London,18-03-2023,ODI # 4540
467,India,Australia,Australia,10 wickets,Visakhapatnam,19-03-2023,ODI # 4541
468,Bangladesh,Ireland,no result,-,Sylhet,20-03-2023,ODI # 4542
469,Zimbabwe,Netherlands,Netherlands,3 wickets,Harare,21-03-2023,ODI # 4543
470,South Africa,West Indies,South Africa,4 wickets,Potchefstroom,21-03-2023,ODI # 4544
471,India,Australia,Australia,21 runs,Chennai,22-03-2023,ODI # 4545
472,Zimbabwe,Netherlands,Zimbabwe,1 run,Harare,23-03-2023,ODI # 4546
473,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet,23-03-2023,ODI # 4547
474,New Zealand,Sri Lanka,New Zealand,198 runs,Auckland,25-03-2023,ODI # 4548
475,Zimbabwe,Netherlands,Zimbabwe,7 wickets,Harare,25-03-2023,ODI # 4549
476,Namibia,U.S.A.,U.S.A.,80 runs,Windhoek,26-03-2023,ODI # 4550
477,P.N.G.,U.A.E.,U.A.E.,21 runs,Windhoek,27-03-2023,ODI # 4551
478,Canada,Jersey,Canada,31 runs,Windhoek,27-03-2023,ODI # 4552
479,Canada,U.S.A.,Canada,26 runs,Windhoek,29-03-2023,ODI # 4553
480,Namibia,P.N.G.,Namibia,48 runs,Windhoek,29-03-2023,ODI # 4554
481,Namibia,Jersey,Namibia,8 wickets,Windhoek,30-03-2023,ODI # 4555
482,U.A.E.,U.S.A.,U.S.A.,5 wickets,Windhoek,30-03-2023,ODI # 4556
483,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,31-03-2023,ODI # 4557
484,South Africa,Netherlands,South Africa,8 wickets,Benoni,31-03-2023,ODI # 4558
485,Canada,U.A.E.,U.A.E.,6 wickets,Windhoek,01-04-2023,ODI # 4559
486,Jersey,P.N.G.,Jersey,11 runs,Windhoek,01-04-2023,ODI # 4560
487,P.N.G.,U.S.A.,U.S.A.,117 runs,Windhoek,02-04-2023,ODI # 4561
488,Namibia,U.A.E.,U.A.E.,28 runs,Windhoek,02-04-2023,ODI # 4562
489,South Africa,Netherlands,South Africa,146 runs,Johannesburg,02-04-2023,ODI # 4563
490,Namibia,Canada,Namibia,111 runs,Windhoek,04-04-2023,ODI # 4564
491,Jersey,U.S.A.,U.S.A.,25 runs,Windhoek,04-04-2023,ODI # 4565
492,Jersey,U.A.E.,U.A.E.,66 runs,Windhoek,05-04-2023,ODI # 4566
493,Canada,P.N.G.,Canada,90 runs,Windhoek,05-04-2023,ODI # 4567
494,Nepal,Oman,Nepal,84 runs,Kirtipur,21-04-2023,ODI # 4568
495,Pakistan,New Zealand,Pakistan,5 wickets,Rawalpindi,27-04-2023,ODI # 4569
496,Oman,U.A.E.,U.A.E.,2 runs,Mulpani,29-04-2023,ODI # 4570
497,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,29-04-2023,ODI # 4571
498,Nepal,U.A.E.,Nepal,7 wickets,Kirtipur,01-05-2023,ODI # 4572
499,Pakistan,New Zealand,Pakistan,26 runs,Karachi,03-05-2023,ODI # 4573
500,Pakistan,New Zealand,Pakistan,102 runs,Karachi,05-05-2023,ODI # 4574
501,Pakistan,New Zealand,New Zealand,47 runs,Karachi,07-05-2023,ODI # 4575
502,Bangladesh,Ireland,no result,-,Chelmsford,09-05-2023,ODI # 4576
503,Bangladesh,Ireland,Bangladesh,3 wickets,Chelmsford,12-05-2023,ODI # 4577
504,Bangladesh,Ireland,Bangladesh,5 runs,Chelmsford,14-05-2023,ODI # 4578
